DATE;WAARDE
6-5-2013;0
7-5-2013;0
8-5-2013;0
9-5-2013;1.3
10-5-2013;0.4
11-5-2013;0.6
12-5-2013;14.8
13-5-2013;5.4
14-5-2013;1.2
15-5-2013;4.1
16-5-2013;0.7
17-5-2013;14.2
18-5-2013;7.6
19-5-2013;0.3
20-5-2013;1.1
21-5-2013;24.5
22-5-2013;0.7
23-5-2013;6.1
24-5-2013;5.8
25-5-2013;3.4
26-5-2013;8.6
27-5-2013;0
28-5-2013;0
29-5-2013;16.7
30-5-2013;2.4
31-5-2013;0
1-6-2013;0
2-6-2013;0
3-6-2013;0
4-6-2013;0
5-6-2013;0
6-6-2013;0
7-6-2013;0
8-6-2013;0
9-6-2013;0
10-6-2013;0
11-6-2013;0
12-6-2013;0
13-6-2013;3.2
14-6-2013;1.3
15-6-2013;1.1
16-6-2013;0
17-6-2013;0
18-6-2013;0
19-6-2013;0
20-6-2013;0
21-6-2013;3.9
22-6-2013;0.7
23-6-2013;2.6
24-6-2013;1.9
25-6-2013;3.2
26-6-2013;0
27-6-2013;5.2
28-6-2013;0.3
29-6-2013;10.4
30-6-2013;0
1-7-2013;0
2-7-2013;0
3-7-2013;17.1
4-7-2013;0.3
5-7-2013;0
6-7-2013;0
7-7-2013;0
8-7-2013;0
9-7-2013;0
10-7-2013;0
11-7-2013;0
12-7-2013;0
13-7-2013;0
14-7-2013;0
15-7-2013;0
16-7-2013;0
17-7-2013;0
18-7-2013;0
19-7-2013;0
20-7-2013;0
21-7-2013;0
22-7-2013;0
23-7-2013;0
24-7-2013;0.1
25-7-2013;0
26-7-2013;4.7
27-7-2013;2.3
28-7-2013;26.4
29-7-2013;0
30-7-2013;0
31-7-2013;1.8
1-8-2013;0
2-8-2013;0
3-8-2013;0
4-8-2013;0
5-8-2013;0
6-8-2013;4.9
7-8-2013;0
8-8-2013;3.2
9-8-2013;0
10-8-2013;0
11-8-2013;0
12-8-2013;0.2
13-8-2013;0.3
14-8-2013;1.1
15-8-2013;0
16-8-2013;0.9
17-8-2013;0
18-8-2013;2.3
19-8-2013;0.3
20-8-2013;0
21-8-2013;0
22-8-2013;0.2
23-8-2013;2.9
24-8-2013;0.3
25-8-2013;4.2
26-8-2013;0
27-8-2013;0
28-8-2013;0
29-8-2013;0
30-8-2013;0
31-8-2013;0
1-9-2013;0
2-9-2013;0
3-9-2013;0
4-9-2013;0
5-9-2013;0
6-9-2013;0
7-9-2013;8.6
8-9-2013;0.7
9-9-2013;5.1
10-9-2013;28.1
11-9-2013;29.4
12-9-2013;2.3
13-9-2013;0.7
14-9-2013;7.9
15-9-2013;0.6
16-9-2013;3.7
17-9-2013;4.1
18-9-2013;11.4
19-9-2013;5.2
20-9-2013;1.8
21-9-2013;0
22-9-2013;0
23-9-2013;0.3
24-9-2013;0.4
25-9-2013;0
26-9-2013;0
27-9-2013;0
28-9-2013;0
29-9-2013;0
30-9-2013;0
1-10-2013;0
2-10-2013;0
3-10-2013;0
4-10-2013;7.6
5-10-2013;0
6-10-2013;0
7-10-2013;0
8-10-2013;0
9-10-2013;0
10-10-2013;8.3
11-10-2013;11.4
12-10-2013;12.2
13-10-2013;42.9
