Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20110517 2.8851
20110518 2.2681
20110519 2.0143
20110520 0.7608
20110521 0.8312
20110522 0.7014
20110523 0.6251
20110524 0.6633
20110525 0.784
20110526 0.6953
20110527 1.2738
20110528 1.0134
20110529 1.2852
20110530 1.4363
20110531 1.4999
20110601 1.2667
20110602 1.2321
20110603 1.2953
20110604 1.2406
20110605 1.3408
20110606 1.4055
20110607 0.912
20110608 0.9119
20110609 1.4359
20110610 1.3858
20110611 1.1344
20110612 1.1636
20110613 1.1435
20110614 1.3268
20110615 1.3909
20110616 1.4373
20110617 0.6685
20110618 1.5973
20110619 2.1598
20110620 1.5572
20110621 1.5015
20110622 1.3559
20110623 1.7266
20110624 1.8988
20110625 3.18
20110626 4.1447
20110627 3.9342
20110628 4.7303
20110629 4.4109
20110630 4.0231
20110701 4.1886
20110702 4.2258
20110703 4.565
20110704 4.5068
20110705 3.8814
20110706 4.0081
20110707 4.161
20110708 3.4279
20110709 3.9627
20110710 3.9879
20110711 4.1239
20110712 4.7324
20110713 4.9407
20110714 1.8241
20110715 0.2182
20110716 0.6986
20110717 2.0205
20110718 2.9973
20110719 4.6868
20110720 3.5806
20110721 3.863
20110722 3.2405
20110723 5.7974
20110724 5.9102
20110725 6.2333
20110726 4.167
20110727 3.8136
20110728 4.2003
20110729 4.7715
20110730 4.5966
20110731 4.4918
20110801 4.2327
20110802 1.2209
20110803 0.036
20110804 0.1184
20110805 0.1545
20110806 0.0934
20110807 0.0903
20110808 0.2808
20110809 0.0481
20110810 0.1311
20110811 0.1765
20110812 0.6978
20110813 0.1391
20110814 0.1623
20110815 0.2117
20110816 0.2621
20110817 0.077
20110818 1.4157
20110819 0.1135
20110820 0.0748
20110821 0.1508
20110822 0.0661
20110823 0.0568
20110824 0.1027
20110825 0.1325
20110826 1.3463
20110827 0.135
20110828 0.1458
20110829 0.1159
20110830 0.0892
20110831 0.0656
20110901 1.0626
20110902 1.5079
20110903 0.1374
20110904 0.1692
20110905 1.1654
20110906 1.3504
20110907 1.6029
20110908 0.1731
20110909 1.4088
20110910 2.0373
20110911 2.1325
20110912 2.0627
20110913 2.0668
20110914 2.1771
20110915 2.0893
20110916 0.8332
20110917 0.1195
20110918 0.0942
20110919 0.1212
20110920 0.1028
20110921 0.1295
20110922 0.2041
20110923 0.1282
20110924 0.0188
20110925 0.2049
20110926 0.0657
20110927 0.0577
20110928 1.9367
20110929 1.9298
20110930 1.951
20111001 1.9508
20111002 1.9532
20111003 0.6792
20111004 0.2309
20111005 0.1278
20111006 0.1935
20111007 0.0709
20111008 0.328
20111009 0.0534
20111010 0.3796
20111011 0.3971
20111012 0.5412
20111013 1.16
20111014 1.8771
20111015 1.9477
20111016 0.0213
20111017 0.0723
20111018 0.1547
20111019 0.0999
20111020 0.0296
20111021 0.0086
20111022 1.7254
20111023 1.9513
20111024 1.9247
20111025 0.6274
20111026 0.0918
20111027 1.9321
20111028 1.6945
20111029 1.6757
20111030 0.1293
20111031 0.0204
20111101 0.0462
20111102 1.5618
20111103 1.9019
20111104 0.0091
20111105 1.3193
20111106 1.2261
20111107 1.6757
20111108 1.9352
20111109 1.9348
20111110 1.906
20111111 1.7389
20111112 0.3387
20111113 1.9252
20111114 1.913
20111115 1.9532
20111116 1.8796
20111117 1.876
20111118 0.025
20111119 1.953
20111120 1.937
20111121 1.9523
20111122 1.9531
20111123 0.1013
20111124 1.0788
20111125 0.8535
20111126 1.3014
20111127 1.2039
20111128 1.4366
20111129 0.8635
20111130 0.9053
20111201 0.3596
20111202 0.3815
20111203 0.1524
20111204 0.2031
20111205 0.2448
20111206 0.2732
20111207 0.3457
20111208 0.1865
20111209 0.3469
20111210 0.1991
20111211 0.193
20111212 0.2527
20111213 0.1919
20111214 0.1382
20111215 0.1614
20111216 0.3126
20111217 0.3362
20111218 0.0392
20111219 0.1647
20111220 0.0837
20111221 0.1192
20111222 0.1082
20111223 0.1843
20111224 0.0657
20111225 0.2252
20111226 0.2269
20111227 0.1791
20111228 0.1434
20111229 0.347
20111230 0.1217
20111231 0.1781
20120101 0.2219
20120102 0.2427
20120103 0.239
20120104 0.3789
20120105 0.2984
20120106 0.0283
20120107 0.1506
20120108 0.1001
20120109 0.1525
20120110 0.0989
20120111 0.1892
20120112 0.072
20120113 0.3125
20120114 1.4111
20120115 1.7104
20120116 1.8464
20120117 1.9354
20120118 0.0993
20120119 0.1681
20120120 0.1368
20120121 0.3538
20120122 0.3301
20120123 0.1827
20120124 0.1003
20120125 0.0065
20120126 0.0763
20120127 0.0727
20120128 1.4691
20120129 1.7401
20120130 1.6718
20120131 1.7918
20120201 1.8403
20120202 1.9444
20120203 1.9305
20120204 1.9359
20120205 1.6045
20120206 1.8652
20120207 1.928
20120208 1.7765
20120209 1.8966
20120210 1.9038
20120211 1.0196
20120212 1.8192
20120213 1.9328
20120214 1.1631
20120215 0.731
20120216 1.3479
20120217 0.0433
20120218 0.0641
20120219 0.0424
20120220 1.3649
20120221 0.0552
20120222 0.015
20120223 0.0368
20120224 0.084
20120225 0.8598
20120226 0.0537
20120227 0.082
20120228 0.13
20120229 0.0697
20120301 1.091
20120302 1.365
20120303 1.6632
20120304 2.2152
20120305 1.5071
20120306 0.7446
20120307 1.1493
20120308 1.9642
20120309 1.5803
20120310 2.7381
20120311 3.5883
20120312 1.9058
20120313 1.8501
20120314 1.7437
20120315 1.571
20120316 1.67
20120317 1.5409
20120318 2.2603
20120319 1.9079
20120320 2.6172
20120321 3.764
20120322 4.3942
20120323 4.5439
20120324 4.7793
20120325 4.5286
20120326 4.4143
20120327 3.5621
20120328 4.816
20120329 4.2456
20120330 3.6
20120331 3.9224
